epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2638,1.63962,4.63784,1.38365,0.02172,0.42472,0.02959,0.01705,1.42321,3.8613,1.08521,8.03534e-05,8.03534e-05,8.03534e-05
2,25.2871,1.44271,3.44764,1.21228,0.42249,0.16841,0.14716,0.0892,1.41994,2.79803,1.17265,0.000160086,0.000160086,0.000160086
3,36.0616,1.44019,2.64362,1.23873,0.47168,0.30454,0.28595,0.17224,1.45547,2.02056,1.22084,0.000238208,0.000238208,0.000238208
4,45.6012,1.40125,2.21454,1.22595,0.54056,0.36996,0.38424,0.23569,1.40957,1.74977,1.17112,0.000236753,0.000236753,0.000236753
5,55.0818,1.38508,1.96985,1.2236,0.59182,0.44975,0.48283,0.29374,1.4173,1.47062,1.18967,0.000234338,0.000234338,0.000234338
