epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,399.879,1.0889,0.73125,1.13845,0.92579,0.88196,0.92895,0.59841,1.26241,0.62936,1.18786,0.000643101,0.000643101,0.000643101
43,409.726,1.08248,0.71396,1.12752,0.90917,0.8892,0.92677,0.59378,1.27493,0.64186,1.17916,0.000628101,0.000628101,0.000628101
44,420.082,1.06642,0.69494,1.12134,0.93193,0.89903,0.93465,0.59926,1.25505,0.6195,1.17297,0.000612981,0.000612981,0.000612981
45,430.449,1.06152,0.68424,1.12426,0.93306,0.8939,0.9334,0.58542,1.30445,0.62475,1.197,0.000597754,0.000597754,0.000597754
46,440.782,1.07823,0.72453,1.13887,0.93341,0.89641,0.93464,0.60479,1.26014,0.61421,1.17325,0.000582435,0.000582435,0.000582435
47,450.974,1.05649,0.67728,1.11642,0.92077,0.89716,0.93039,0.59657,1.25863,0.61707,1.17299,0.00056704,0.00056704,0.00056704
48,461.212,1.05712,0.68056,1.11258,0.9269,0.89188,0.93339,0.59929,1.25841,0.61848,1.18167,0.000551584,0.000551584,0.000551584
49,471.451,1.05378,0.67067,1.11163,0.92447,0.89417,0.93566,0.59524,1.28012,0.61525,1.19152,0.000536081,0.000536081,0.000536081
50,481.735,1.03637,0.66838,1.11013,0.93286,0.89228,0.933,0.59947,1.26301,0.61929,1.18156,0.000520548,0.000520548,0.000520548
51,490.914,1.05202,0.66599,1.11556,0.93806,0.89286,0.93966,0.58872,1.28646,0.61818,1.20018,0.000505,0.000505,0.000505
52,499.651,1.02929,0.67355,1.10348,0.92874,0.89371,0.92879,0.60183,1.26002,0.61099,1.17479,0.000489452,0.000489452,0.000489452
53,508.832,1.02954,0.66089,1.0935,0.93386,0.90726,0.93412,0.60296,1.25737,0.61402,1.18017,0.000473919,0.000473919,0.000473919
54,517.865,1.05649,0.69029,1.10171,0.92932,0.89675,0.93249,0.59972,1.27823,0.60957,1.18069,0.000458416,0.000458416,0.000458416
55,527.286,1.04055,0.66671,1.09846,0.93604,0.90104,0.93821,0.61099,1.24634,0.59688,1.17026,0.00044296,0.00044296,0.00044296
56,536.65,1.02477,0.65057,1.09533,0.93626,0.9029,0.9367,0.6072,1.25553,0.59451,1.17616,0.000427565,0.000427565,0.000427565
57,545.804,1.03631,0.701,1.105,0.94053,0.90878,0.94051,0.60094,1.25888,0.59851,1.19012,0.000412246,0.000412246,0.000412246
58,554.952,1.00922,0.63512,1.0942,0.934,0.90658,0.93624,0.60353,1.24627,0.59547,1.18645,0.000397019,0.000397019,0.000397019
59,564.073,1.00766,0.65271,1.09272,0.93719,0.89586,0.93571,0.60814,1.23642,0.58866,1.16983,0.000381899,0.000381899,0.000381899
60,573.413,1.01209,0.63355,1.09459,0.93228,0.9,0.93773,0.61105,1.24236,0.59299,1.16801,0.000366899,0.000366899,0.000366899
61,582.116,1.00543,0.6349,1.09447,0.94469,0.89793,0.93641,0.60211,1.25932,0.59553,1.18574,0.000352037,0.000352037,0.000352037
62,591.176,0.9802,0.61589,1.08744,0.92954,0.8984,0.93422,0.60906,1.24067,0.58615,1.18095,0.000337325,0.000337325,0.000337325
63,600.036,0.98875,0.62242,1.07594,0.93598,0.90204,0.9355,0.6069,1.24946,0.58311,1.17931,0.000322778,0.000322778,0.000322778
64,609.195,0.97739,0.61332,1.08086,0.94324,0.90586,0.93861,0.5986,1.25493,0.58642,1.18247,0.000308412,0.000308412,0.000308412
65,618.722,0.97283,0.62229,1.08949,0.94079,0.91078,0.93862,0.60251,1.25,0.58257,1.18366,0.000294239,0.000294239,0.000294239
66,628.68,0.97836,0.62349,1.08239,0.94006,0.90184,0.93619,0.6061,1.2446,0.58391,1.17248,0.000280275,0.000280275,0.000280275
67,637.691,0.98457,0.60626,1.0865,0.941,0.89936,0.93806,0.60896,1.24629,0.57856,1.17424,0.000266532,0.000266532,0.000266532
68,646.856,0.9874,0.61233,1.08579,0.93657,0.90238,0.93601,0.61532,1.23829,0.58091,1.17335,0.000253024,0.000253024,0.000253024
69,656.779,0.95866,0.60807,1.07354,0.94735,0.89806,0.94166,0.61553,1.24034,0.5713,1.17302,0.000239766,0.000239766,0.000239766
70,665.959,0.97974,0.65934,1.07921,0.93895,0.90441,0.93357,0.60942,1.23915,0.57735,1.17272,0.000226769,0.000226769,0.000226769
71,675.184,0.95892,0.59369,1.06631,0.94616,0.90773,0.93578,0.61194,1.23797,0.56907,1.17468,0.000214046,0.000214046,0.000214046
72,684.723,0.95527,0.60028,1.06971,0.9362,0.90271,0.93595,0.61318,1.23755,0.5713,1.17541,0.000201611,0.000201611,0.000201611
73,693.363,0.95033,0.59731,1.06385,0.94036,0.90752,0.93675,0.60767,1.24647,0.57652,1.17666,0.000189475,0.000189475,0.000189475
74,701.719,0.95178,0.58981,1.06245,0.94122,0.90665,0.93809,0.61579,1.23717,0.56858,1.17766,0.000177651,0.000177651,0.000177651
75,710.215,0.95209,0.59192,1.0652,0.94766,0.90452,0.93996,0.60679,1.25268,0.57484,1.18556,0.000166149,0.000166149,0.000166149
76,718.917,0.96765,0.61325,1.08058,0.94965,0.89757,0.9382,0.61437,1.23942,0.56291,1.17755,0.000154982,0.000154982,0.000154982
77,727.595,0.93247,0.57961,1.05331,0.93951,0.90677,0.93575,0.61243,1.24014,0.56799,1.17862,0.000144161,0.000144161,0.000144161
78,736.042,0.94245,0.59638,1.06371,0.93761,0.91444,0.93691,0.60904,1.24542,0.56567,1.1816,0.000133695,0.000133695,0.000133695
79,744.673,0.93996,0.59041,1.05475,0.94379,0.90405,0.93613,0.61134,1.23753,0.56268,1.17766,0.000123596,0.000123596,0.000123596
80,753.762,0.95004,0.56724,1.06738,0.95134,0.91112,0.94016,0.61459,1.23528,0.56001,1.17455,0.000113873,0.000113873,0.000113873
81,762.815,0.93229,0.57108,1.05678,0.94816,0.91204,0.93924,0.6114,1.24024,0.55953,1.18147,0.000104537,0.000104537,0.000104537
82,771.773,0.90282,0.56065,1.04682,0.94438,0.91526,0.94069,0.61248,1.24239,0.56457,1.1806,9.55951e-05,9.55951e-05,9.55951e-05
